Player,Country,Team,Assists,Season
Conor Hourihane,Ireland,Barnsley FC,14,2016-2017
Albert Adomah,Ghana,Aston Villa,10,2016-2017
Sone Aluko,Nigeria,Fulham FC,10,2016-2017
Tom Cairney,England,Fulham FC,10,2016-2017
Wes Hoolahan,Ireland,Norwich City,10,2016-2017
Paul Gallagher,Scotland,Preston North End,9,2016-2017
Tom Lawrence,Wales,Ipswich Town,9,2016-2017
Garath McCleary,Jamaica,Reading FC,9,2016-2017
Marley Watkins,Wales,Barnsley FC,9,2016-2017
Hélder Costa,Angola,Wolverhampton Wanderers,8,2016-2017
Stefan Johansen,Norway,Fulham FC,8,2016-2017
Anthony Knockaert,France,Brighton & Hove Albion,8,2016-2017
Aiden McGeady,Ireland,Preston North End,8,2016-2017
Pablo Hernández,Spain,Leeds United,8,2016-2017
Romaine Sawyers,St. Kitts & Nevis,Brentford FC,8,2016-2017
Jonjo Shelvey,England,Newcastle United,8,2016-2017
Tommy Smith,England,Huddersfield Town,8,2016-2017
Floyd Ayité,Togo,Fulham FC,7,2016-2017
Barry Bannan,Scotland,Sheffield Wednesday,7,2016-2017
Jonny Howson,England,Norwich City,7,2016-2017
Cameron Jerome,Grenada,Norwich City,7,2016-2017
Aaron Mooy,Australia,Huddersfield Town,7,2016-2017
Jacob Murphy,England,Norwich City,7,2016-2017
Ben Osborn,England,Nottingham Forest,7,2016-2017
Alex Pritchard,England,Norwich City,7,2016-2017
Matt Ritchie,Scotland,Newcastle United,7,2016-2017
Kemar Roofe,Jamaica,Leeds United,7,2016-2017
Lasse Vibe,Denmark,Brentford FC,7,2016-2017
Peter Whittingham,England,Cardiff City,7,2016-2017
Ayoze Pérez,Spain,Newcastle United,6,2016-2017
David Cotterill,Wales,Bristol City,6,2016-2017
Greg Cunningham,Ireland,Preston North End,6,2016-2017
Marvin Emnes,Netherlands,Blackburn Rovers,6,2016-2017
Tom Ince,England,Derby County,6,2016-2017
Konstantin Kerschbaumer,Austria,Brentford FC,6,2016-2017
Ben Marshall,England,Wolverhampton Wanderers,6,2016-2017
Aleksandar Mitrović,Serbia,Newcastle United,6,2016-2017
Max Power,England,Wigan Athletic,6,2016-2017
Ross Wallace,Scotland,Sheffield Wednesday,6,2016-2017
Izzy Brown,England,Rotherham United,5,2016-2017
Craig Conway,Scotland,Blackburn Rovers,5,2016-2017
Fernando Forestieri,Italy,Sheffield Wednesday,5,2016-2017
Ryan Fredericks,England,Fulham FC,5,2016-2017
Liam Kelly,Ireland,Reading FC,5,2016-2017
Sean Morrison,England,Cardiff City,5,2016-2017
Josh Murphy,England,Norwich City,5,2016-2017
Glenn Murray,England,Brighton & Hove Albion,5,2016-2017
Gary O'Neil,England,Bristol City,5,2016-2017
Jota Peleteiro,Spain,Brentford FC,5,2016-2017
Jiří Skalák,Czech Republic,Brighton & Hove Albion,5,2016-2017
Cole Skuse,England,Ipswich Town,5,2016-2017
Matty Taylor,England,Bristol City,5,2016-2017
Lee Tomlin,England,Bristol City,5,2016-2017
DeAndre Yedlin,USA,Newcastle United,5,2016-2017
Kenneth Zohoré,Denmark,Cardiff City,5,2016-2017
Adam Armstrong,England,Newcastle United,4,2016-2017
Jordan Ayew,Ghana,Aston Villa,4,2016-2017
Sam Baldock,England,Brighton & Hove Albion,4,2016-2017
Gaëtan Bong,Cameroon,Brighton & Hove Albion,4,2016-2017
Robbie Brady,Ireland,Norwich City,4,2016-2017
John Brayford,England,Burton Albion,4,2016-2017
Bruno Saltor,Spain,Brighton & Hove Albion,4,2016-2017
Matt Doherty,Ireland,Wolverhampton Wanderers,4,2016-2017
Liam Feeney,England,Blackburn Rovers,4,2016-2017
Yoan Gouffran,France,Newcastle United,4,2016-2017
Danny Graham,England,Blackburn Rovers,4,2016-2017
Kadeem Harris,England,Cardiff City,4,2016-2017
Tomer Hemed,Israel,Brighton & Hove Albion,4,2016-2017
Junior Hoilett,Canada,Cardiff City,4,2016-2017
Ivan Cavaleiro,Portugal,Wolverhampton Wanderers,4,2016-2017
Ivo Pinto,Portugal,Norwich City,4,2016-2017
Michael Jacobs,England,Wigan Athletic,4,2016-2017
Lucas Piazón,Brazil,Fulham FC,4,2016-2017
Lewis MacLeod,Scotland,Brentford FC,4,2016-2017
Simon Makienok,Denmark,Preston North End,4,2016-2017
Josh McEachran,England,Brentford FC,4,2016-2017
Jordan Obita,England,Reading FC,4,2016-2017
Adam Reach,England,Sheffield Wednesday,4,2016-2017
Callum Robinson,Ireland,Preston North End,4,2016-2017
Johnny Russell,Scotland,Derby County,4,2016-2017
Hadi Sacko,Mali,Leeds United,4,2016-2017
Freddie Sears,England,Ipswich Town,4,2016-2017
John Swift,England,Reading FC,4,2016-2017
Lasse Vigen,Denmark,Fulham FC,4,2016-2017
Jamie Ward,Northern Ireland,Nottingham Forest,4,2016-2017
Chris Wood,New Zealand,Leeds United,4,2016-2017
Ryan Woods,England,Brentford FC,4,2016-2017
Paweł Wszołek,Poland,Queens Park Rangers,4,2016-2017
Nico Yennaris,China,Brentford FC,4,2016-2017
Tammy Abraham,England,Bristol City,3,2016-2017
Ché Adams,Scotland,Birmingham City,3,2016-2017
Ikechi Anya,Scotland,Derby County,3,2016-2017
Christian Atsu,Ghana,Newcastle United,3,2016-2017
Luke Ayling,England,Leeds United,3,2016-2017
Chris Baird,Northern Ireland,Derby County,3,2016-2017
Tom Barkhuizen,England,Preston North End,3,2016-2017
Jón Böðvarsson,Iceland,Wolverhampton Wanderers,3,2016-2017
Ben Brereton,Chile,Nottingham Forest,3,2016-2017
Joe Bryan,England,Bristol City,3,2016-2017
Jacob Butterfield,England,Derby County,3,2016-2017
Tjaronn Chery,Suriname,Queens Park Rangers,3,2016-2017
Josh Clarke,England,Brentford FC,3,2016-2017
Stuart Dallas,Northern Ireland,Leeds United,3,2016-2017
Harlee Dean,England,Brentford FC,3,2016-2017
Momo Diamé,Senegal,Newcastle United,3,2016-2017
Nouha Dicko,Mali,Wolverhampton Wanderers,3,2016-2017
Lloyd Dyer,England,Burton Albion,3,2016-2017
Corry Evans,Northern Ireland,Blackburn Rovers,3,2016-2017
Anthony Forde,Ireland,Rotherham United,3,2016-2017
Danny Fox,Scotland,Nottingham Forest,3,2016-2017
Luke Freeman,England,Queens Park Rangers,3,2016-2017
Lewis Grabban,Jamaica,Reading FC,3,2016-2017
Jonathan Grounds,England,Birmingham City,3,2016-2017
Aron Gunnarsson,Iceland,Cardiff City,3,2016-2017
Chris Gunter,Wales,Reading FC,3,2016-2017
Greg Halford,England,Rotherham United,3,2016-2017
Scott Hogan,Ireland,Brentford FC,3,2016-2017
Gary Hooper,England,Sheffield Wednesday,3,2016-2017
Daryl Horgan,Ireland,Preston North End,3,2016-2017
Will Hughes,England,Derby County,3,2016-2017
Jordan Hugill,England,Preston North End,3,2016-2017
Daniel Johnson,Jamaica,Preston North End,3,2016-2017
Lukas Jutkiewicz,England,Birmingham City,3,2016-2017
Yann Kermorgant,France,Reading FC,3,2016-2017
Henri Lansbury,England,Nottingham Forest,3,2016-2017
Chris Löwe,Germany,Huddersfield Town,3,2016-2017
Massimo Luongo,Australia,Queens Park Rangers,3,2016-2017
Connor Mahoney,England,Blackburn Rovers,3,2016-2017
Scott Malone,England,Fulham FC,3,2016-2017
Kevin McDonald,Scotland,Fulham FC,3,2016-2017
David McGoldrick,Ireland,Ipswich Town,3,2016-2017
Michael Morrison,England,Birmingham City,3,2016-2017
Sam Morsy,Egypt,Wigan Athletic,3,2016-2017
John Mousinho,England,Burton Albion,3,2016-2017
Jamie Murphy,Scotland,Brighton & Hove Albion,3,2016-2017
Steven Naismith,Scotland,Norwich City,3,2016-2017
Kasey Palmer,Jamaica,Huddersfield Town,3,2016-2017
Jamie Paterson,England,Nottingham Forest,3,2016-2017
Brett Pitman,England,Ipswich Town,3,2016-2017
Marc Roberts,England,Barnsley FC,3,2016-2017
Josh Scowen,England,Barnsley FC,3,2016-2017
Ryan Sessegnon,England,Fulham FC,3,2016-2017
Marvin Sordell,England,Burton Albion,3,2016-2017
Charlie Taylor,England,Leeds United,3,2016-2017
Rajiv van La Parra,Netherlands,Huddersfield Town,3,2016-2017
Danny Ward,England,Rotherham United,3,2016-2017
Grant Ward,England,Ipswich Town,3,2016-2017
Nahki Wells,Bermuda,Huddersfield Town,3,2016-2017
Derrick Williams,Ireland,Bristol City,3,2016-2017
Andy Yiadom,Ghana,Barnsley FC,3,2016-2017
Tom Adeyemi,England,Rotherham United,2,2016-2017
Lucas Akins,England,Burton Albion,2,2016-2017
Kyle Bartley,England,Leeds United,2,2016-2017
Stuart Beavon,England,Burton Albion,2,2016-2017
Roy Beerens,Netherlands,Reading FC,2,2016-2017
Jake Bidwell,England,Queens Park Rangers,2,2016-2017
Andreas Bjelland,Denmark,Brentford FC,2,2016-2017
Tom Bradshaw,Wales,Barnsley FC,2,2016-2017
James Bree,England,Barnsley FC,2,2016-2017
Liam Bridcutt,Scotland,Leeds United,2,2016-2017
Craig Bryson,Scotland,Derby County,2,2016-2017
Matty Cash,Poland,Nottingham Forest,2,2016-2017
Zach Clough,England,Nottingham Forest,2,2016-2017
Conor Coady,England,Wolverhampton Wanderers,2,2016-2017
Milan Đurić,Bosnia-Herzegovina,Bristol City,2,2016-2017
David Edwards,Wales,Wolverhampton Wanderers,2,2016-2017
George Evans,England,Reading FC,2,2016-2017
Darnell Fisher,England,Rotherham United,2,2016-2017
Tom Flanagan,Northern Ireland,Burton Albion,2,2016-2017
Steven Fletcher,Scotland,Sheffield Wednesday,2,2016-2017
Lee Frecklington,Ireland,Rotherham United,2,2016-2017
Dwight Gayle,England,Newcastle United,2,2016-2017
Alex Gilbey,England,Wigan Athletic,2,2016-2017
Jack Grealish,England,Aston Villa,2,2016-2017
Will Grigg,Northern Ireland,Wigan Athletic,2,2016-2017
Adam Hammill,England,Barnsley FC,2,2016-2017
Isaac Hayden,England,Newcastle United,2,2016-2017
Hildeberto,Cape Verde,Nottingham Forest,2,2016-2017
Jack Hunt,England,Sheffield Wednesday,2,2016-2017
Mile Jedinak,Australia,Aston Villa,2,2016-2017
João Teixeira,Portugal,Wolverhampton Wanderers,2,2016-2017
Bradley Johnson,England,Derby County,2,2016-2017
David Jones,England,Sheffield Wednesday,2,2016-2017
Florian Jozefzoon,Suriname,Brentford FC,2,2016-2017
Elias Kachunga,Congo DR,Huddersfield Town,2,2016-2017
Pajtim Kasami,Switzerland,Nottingham Forest,2,2016-2017
Neeskens Kebano,Congo DR,Fulham FC,2,2016-2017
Andrew Kellett,England,Wigan Athletic,2,2016-2017
Jonathan Kodjia,Ivory Coast,Bristol City,2,2016-2017
Jamaal Lascelles,England,Newcastle United,2,2016-2017
Eric Lichaj,USA,Nottingham Forest,2,2016-2017
Lucas João,Angola,Sheffield Wednesday,2,2016-2017
Jamie Mackie,Scotland,Queens Park Rangers,2,2016-2017
Jacques Maghoma,Congo DR,Birmingham City,2,2016-2017
Ryan Manning,Ireland,Queens Park Rangers,2,2016-2017
Solly March,England,Brighton & Hove Albion,2,2016-2017
Chris Martin,Scotland,Fulham FC,2,2016-2017
Joe Mattock,England,Rotherham United,2,2016-2017
Ross McCormack,Scotland,Nottingham Forest,2,2016-2017
Kyle McFadzean,England,Burton Albion,2,2016-2017
Callum McManaman,England,Sheffield Wednesday,2,2016-2017
Liam Moore,Jamaica,Reading FC,2,2016-2017
Alex Mowatt,England,Leeds United,2,2016-2017
Daryl Murphy,Ireland,Newcastle United,2,2016-2017
Yeni N’Gbakoto,Congo DR,Queens Park Rangers,2,2016-2017
Joe Newell,England,Rotherham United,2,2016-2017
Craig Noone,England,Cardiff City,2,2016-2017
Oliver Norwood,Northern Ireland,Brighton & Hove Albion,2,2016-2017
Eunan O'Kane,Ireland,Leeds United,2,2016-2017
Gabriel Obertan,France,Wigan Athletic,2,2016-2017
Denis Odoi,Belgium,Fulham FC,2,2016-2017
Marcus Olsson,Sweden,Derby County,2,2016-2017
Nedum Onuoha,England,Queens Park Rangers,2,2016-2017
Matt Palmer,England,Burton Albion,2,2016-2017
Jack Payne,England,Huddersfield Town,2,2016-2017
Ben Pearson,England,Preston North End,2,2016-2017
David Perkins,England,Wigan Athletic,2,2016-2017
Kalvin Phillips,England,Leeds United,2,2016-2017
Daniel Pudil,Czech Republic,Sheffield Wednesday,2,2016-2017
Christopher Schindler,Germany,Huddersfield Town,2,2016-2017
Dale Stephens,England,Brighton & Hove Albion,2,2016-2017
David Vaughan,Wales,Nottingham Forest,2,2016-2017
Conor Washington,Northern Ireland,Queens Park Rangers,2,2016-2017
