Player,Country,Team,Goals,Season
Chuba Akpom,England,Middlesbrough FC,28,2022-2023
Viktor Gyökeres,Sweden,Coventry City,21,2022-2023
Carlton Morris,England,Luton Town,20,2022-2023
Joël Piroe,Netherlands,Swansea City,19,2022-2023
Nathan Tella,England,Burnley FC,17,2022-2023
Tom Bradshaw,Wales,Millwall FC,16,2022-2023
Ben Brereton,Chile,Blackburn Rovers,14,2022-2023
Zian Flemming,Netherlands,Millwall FC,14,2022-2023
Iliman Ndiaye,Senegal,Sheffield United,14,2022-2023
Jerry Yates,England,Blackpool FC,14,2022-2023
Amad Diallo,Ivory Coast,Sunderland AFC,13,2022-2023
Óscar Estupiñán,Colombia,Hull City,13,2022-2023
Oliver McBurnie,Scotland,Sheffield United,13,2022-2023
Josh Sargent,USA,Norwich City,13,2022-2023
Manuel Benson,Belgium,Burnley FC,12,2022-2023
Will Keane,Ireland,Wigan Athletic,12,2022-2023
Cameron Archer,England,Middlesbrough FC,11,2022-2023
João Pedro,Brazil,Watford FC,11,2022-2023
Nahki Wells,Bermuda,Bristol City,11,2022-2023
Marcus Forss,Finland,Middlesbrough FC,10,2022-2023
Scott Hogan,Ireland,Birmingham City,10,2022-2023
Teemu Pukki,Finland,Norwich City,10,2022-2023
Jay Rodriguez,England,Burnley FC,10,2022-2023
Ismaïla Sarr,Senegal,Watford FC,10,2022-2023
Ross Stewart,Scotland,Sunderland AFC,10,2022-2023
Tyrese Campbell,England,Stoke City,9,2022-2023
Andy Carroll,England,Reading FC,9,2022-2023
Jack Clarke,England,Sunderland AFC,9,2022-2023
Tommy Conway,Scotland,Bristol City,9,2022-2023
Ched Evans,Wales,Preston North End,9,2022-2023
Gustavo Hamer,Netherlands,Coventry City,9,2022-2023
Tom Ince,England,Reading FC,9,2022-2023
James McAtee,England,Sheffield United,9,2022-2023
Thomas Cannon,Ireland,Preston North End,8,2022-2023
Liam Cullen,Wales,Swansea City,8,2022-2023
Lyndon Dykes,Scotland,Queens Park Rangers,8,2022-2023
Matt Godden,England,Coventry City,8,2022-2023
Sory Kaba,Guinea,Cardiff City,8,2022-2023
Olivier Ntcham,Cameroon,Swansea City,8,2022-2023
Chiedozie Ogbene,Ireland,Rotherham United,8,2022-2023
Aaron Ramsey,England,Norwich City,8,2022-2023
Ozan Tufan,Turkey,Hull City,8,2022-2023
Duncan Watmore,England,Millwall FC,8,2022-2023
Elijah Adebayo,England,Luton Town,7,2022-2023
Ashley Barnes,England,Burnley FC,7,2022-2023
Jacob Brown,Scotland,Stoke City,7,2022-2023
Josh Brownhill,England,Burnley FC,7,2022-2023
Matt Crooks,England,Middlesbrough FC,7,2022-2023
Keinan Davis,England,Watford FC,7,2022-2023
Troy Deeney,England,Birmingham City,7,2022-2023
Daryl Dike,USA,West Bromwich Albion,7,2022-2023
Gabriel Sara,Brazil,Norwich City,7,2022-2023
Sam Gallagher,England,Blackburn Rovers,7,2022-2023
Lucas João,Angola,Reading FC,7,2022-2023
Ellis Simms,England,Sunderland AFC,7,2022-2023
Brandon Thomas-Asante,Ghana,West Bromwich Albion,7,2022-2023
Anel Ahmedhodžić,Bosnia-Herzegovina,Sheffield United,6,2022-2023
Jamie Allen,England,Coventry City,6,2022-2023
Lewis Baker,England,Stoke City,6,2022-2023
Sander Berge,Norway,Sheffield United,6,2022-2023
Riley McGree,Australia,Middlesbrough FC,6,2022-2023
Antoine Semenyo,Ghana,Bristol City,6,2022-2023
John Swift,England,West Bromwich Albion,6,2022-2023
Jed Wallace,England,West Bromwich Albion,6,2022-2023
Andreas Weimann,Austria,Bristol City,6,2022-2023
Chris Willock,England,Queens Park Rangers,6,2022-2023
Anass Zaroury,Morocco,Burnley FC,6,2022-2023
Nathan Broadhead,Wales,Wigan Athletic,5,2022-2023
Ilias Chair,Morocco,Queens Park Rangers,5,2022-2023
Dennis Cirkin,England,Sunderland AFC,5,2022-2023
Ollie Cooper,Wales,Swansea City,5,2022-2023
Charlie Cresswell,England,Millwall FC,5,2022-2023
Kieran Dowell,England,Norwich City,5,2022-2023
Jordan Hugill,England,Rotherham United,5,2022-2023
Lukas Jutkiewicz,England,Birmingham City,5,2022-2023
Imrân Louza,Morocco,Watford FC,5,2022-2023
Ryan Manning,Ireland,Swansea City,5,2022-2023
Chris Martin,Scotland,Queens Park Rangers,5,2022-2023
Michael Obafemi,Ireland,Swansea City,5,2022-2023
Matty Pearson,England,Huddersfield Town,5,2022-2023
Jordan Rhodes,Scotland,Huddersfield Town,5,2022-2023
Emil Riis,Denmark,Preston North End,5,2022-2023
Patrick Roberts,England,Sunderland AFC,5,2022-2023
Callum Robinson,Ireland,West Bromwich Albion,5,2022-2023
Ken Sema,Sweden,Watford FC,5,2022-2023
Regan Slater,England,Hull City,5,2022-2023
Mark Sykes,Ireland,Bristol City,5,2022-2023
Sammie Szmodics,Ireland,Blackburn Rovers,5,2022-2023
Danny Ward,England,Huddersfield Town,5,2022-2023
Conor Washington,Northern Ireland,Rotherham United,5,2022-2023
Rob Atkinson,England,Bristol City,4,2022-2023
Vakoun Bayo,Ivory Coast,Watford FC,4,2022-2023
Josh Bowler,England,Blackpool FC,4,2022-2023
Tahith Chong,Netherlands,Birmingham City,4,2022-2023
Bradley Dack,England,Blackburn Rovers,4,2022-2023
Harry Darling,England,Swansea City,4,2022-2023
Liam Delap,England,Stoke City,4,2022-2023
Grady Diangana,Congo DR,West Bromwich Albion,4,2022-2023
Tyrhys Dolan,England,Blackburn Rovers,4,2022-2023
Jacob Greaves,England,Hull City,4,2022-2023
Jóhann Guðmundsson,Iceland,Burnley FC,4,2022-2023
Ryan Hedges,Wales,Blackburn Rovers,4,2022-2023
Jeff Hendrick,Ireland,Reading FC,4,2022-2023
Ki-Jana Hoever,Netherlands,Stoke City,4,2022-2023
Georgie Kelly,Ireland,Rotherham United,4,2022-2023
Reda Khadra,Germany,Sheffield United,4,2022-2023
Josh Koroma,England,Huddersfield Town,4,2022-2023
Josh Laurent,England,Stoke City,4,2022-2023
