Player,Country,Team,Assists,Season
Kevin De Bruyne,Belgium,Manchester City,18,2016-2017
Christian Eriksen,Denmark,Tottenham Hotspur,15,2016-2017
Gylfi Sigurðsson,Iceland,Swansea City,13,2016-2017
Cesc Fàbregas,Spain,Chelsea FC,11,2016-2017
Alexis Sánchez,Chile,Arsenal FC,10,2016-2017
Mesut Özil,Germany,Arsenal FC,9,2016-2017
Pedro,Spain,Chelsea FC,9,2016-2017
Georginio Wijnaldum,Netherlands,Liverpool FC,9,2016-2017
Wilfried Zaha,Ivory Coast,Crystal Palace,9,2016-2017
Ross Barkley,England,Everton FC,8,2016-2017
Nemanja Matić,Serbia,Chelsea FC,8,2016-2017
Matthew Phillips,Scotland,West Bromwich Albion,8,2016-2017
Dele Alli,England,Tottenham Hotspur,7,2016-2017
David Silva,Spain,Manchester City,7,2016-2017
Diego Costa,Brazil,Chelsea FC,7,2016-2017
Harry Kane,England,Tottenham Hotspur,7,2016-2017
Adam Lallana,England,Liverpool FC,7,2016-2017
Alex Oxlade-Chamberlain,England,Arsenal FC,7,2016-2017
Philippe Coutinho,Brazil,Liverpool FC,7,2016-2017
Roberto Firmino,Brazil,Liverpool FC,7,2016-2017
Raheem Sterling,England,Manchester City,7,2016-2017
Marc Albrighton,England,Leicester City,6,2016-2017
Ander Herrera,Spain,Manchester United,6,2016-2017
Romelu Lukaku,Belgium,Everton FC,6,2016-2017
Anthony Martial,France,Manchester United,6,2016-2017
Kevin Mirallas,Belgium,Everton FC,6,2016-2017
Dimitri Payet,France,West Ham United,6,2016-2017
Heung-min Son,South Korea,Tottenham Hotspur,6,2016-2017
Marko Arnautović,Austria,Stoke City,5,2016-2017
Nacer Chadli,Belgium,West Bromwich Albion,5,2016-2017
Ryan Fraser,Scotland,AFC Bournemouth,5,2016-2017
Eden Hazard,Belgium,Chelsea FC,5,2016-2017
Zlatan Ibrahimović,Sweden,Manchester United,5,2016-2017
Sadio Mané,Senegal,Liverpool FC,5,2016-2017
Jason Puncheon,England,Crystal Palace,5,2016-2017
Wayne Rooney,England,Manchester United,5,2016-2017
Adam Smith,England,AFC Bournemouth,5,2016-2017
Robert Snodgrass,Scotland,West Ham United,5,2016-2017
Junior Stanislas,England,AFC Bournemouth,5,2016-2017
Dušan Tadić,Serbia,Southampton FC,5,2016-2017
Kieran Trippier,England,Tottenham Hotspur,5,2016-2017
Jamie Vardy,England,Leicester City,5,2016-2017
Kyle Walker,England,Tottenham Hotspur,5,2016-2017
Álvaro Negredo,Spain,Middlesbrough FC,4,2016-2017
Harry Arter,Ireland,AFC Bournemouth,4,2016-2017
Ryan Bertrand,England,Southampton FC,4,2016-2017
Yannick Bolasie,Congo DR,Everton FC,4,2016-2017
Chris Brunt,Northern Ireland,West Bromwich Albion,4,2016-2017
José Cholevas,Greece,Watford FC,4,2016-2017
Troy Deeney,England,Watford FC,4,2016-2017
Christian Fuchs,Austria,Leicester City,4,2016-2017
Gabriel Jesus,Brazil,Manchester City,4,2016-2017
Héctor Bellerín,Spain,Arsenal FC,4,2016-2017
Jordan Henderson,England,Liverpool FC,4,2016-2017
Paul Pogba,France,Manchester United,4,2016-2017
Aaron Ramsey,Wales,Arsenal FC,4,2016-2017
Islam Slimani,Algeria,Leicester City,4,2016-2017
Andros Townsend,England,Crystal Palace,4,2016-2017
James Ward-Prowse,England,Southampton FC,4,2016-2017
Charlie Adam,Scotland,Stoke City,3,2016-2017
Benik Afobe,Congo DR,AFC Bournemouth,3,2016-2017
Sergio Agüero,Argentina,Manchester City,3,2016-2017
Nordin Amrabat,Morocco,Watford FC,3,2016-2017
Michail Antonio,Jamaica,West Ham United,3,2016-2017
André Ayew,Ghana,West Ham United,3,2016-2017
Jordan Ayew,Ghana,Swansea City,3,2016-2017
Azpilicueta,Spain,Chelsea FC,3,2016-2017
Leighton Baines,England,Everton FC,3,2016-2017
Yohan Cabaye,France,Crystal Palace,3,2016-2017
Cédric,Portugal,Southampton FC,3,2016-2017
Séamus Coleman,Ireland,Everton FC,3,2016-2017
Charlie Daniels,England,AFC Bournemouth,3,2016-2017
Ben Davies,Wales,Tottenham Hotspur,3,2016-2017
Tom Davies,England,Everton FC,3,2016-2017
Steven Davis,Northern Ireland,Southampton FC,3,2016-2017
Steven Defour,Belgium,Burnley FC,3,2016-2017
Stewart Downing,England,Middlesbrough FC,3,2016-2017
Sofiane Féghouli,Algeria,West Ham United,3,2016-2017
Viktor Fischer,Denmark,Middlesbrough FC,3,2016-2017
Darren Fletcher,Scotland,West Bromwich Albion,3,2016-2017
Olivier Giroud,France,Arsenal FC,3,2016-2017
Andre Gray,Jamaica,Burnley FC,3,2016-2017
Demarai Gray,Jamaica,Leicester City,3,2016-2017
Kamil Grosicki,Poland,Hull City,3,2016-2017
Abel Hernández,Uruguay,Hull City,3,2016-2017
Kelechi Iheanacho,Nigeria,Manchester City,3,2016-2017
Alex Iwobi,Nigeria,Arsenal FC,3,2016-2017
Adnan Januzaj,Belgium,Sunderland AFC,3,2016-2017
Juan Mata,Spain,Manchester United,3,2016-2017
Lucas Leiva,Brazil,Liverpool FC,3,2016-2017
Riyad Mahrez,Algeria,Leicester City,3,2016-2017
Marcos Alonso,Spain,Chelsea FC,3,2016-2017
James McArthur,Scotland,Crystal Palace,3,2016-2017
James Milner,England,Liverpool FC,3,2016-2017
Luciano Narsingh,Netherlands,Swansea City,3,2016-2017
Divock Origi,Belgium,Liverpool FC,3,2016-2017
Gastón Ramírez,Uruguay,Middlesbrough FC,3,2016-2017
Leroy Sané,Germany,Manchester City,3,2016-2017
Antonio Valencia,Ecuador,Manchester United,3,2016-2017
Sam Vokes,Wales,Burnley FC,3,2016-2017
Ashley Williams,Wales,Everton FC,3,2016-2017
Joe Allen,Wales,Stoke City,2,2016-2017
Ashley Barnes,England,Burnley FC,2,2016-2017
Modou Barrow,Gambia,Swansea City,2,2016-2017
Christian Benteke,Belgium,Crystal Palace,2,2016-2017
Daley Blind,Netherlands,Manchester United,2,2016-2017
Robbie Brady,Ireland,Burnley FC,2,2016-2017
Miguel Britos,Uruguay,Watford FC,2,2016-2017
Emre Can,Germany,Liverpool FC,2,2016-2017
Tom Carroll,England,Tottenham Hotspur,2,2016-2017
Adam Clayton,England,Middlesbrough FC,2,2016-2017
Tom Cleverley,England,Watford FC,2,2016-2017
Nathaniel Clyne,England,Liverpool FC,2,2016-2017
