,Player,Country,Team,Assists,Season,season_start
0,David Beckham,England,Manchester United,12,2000-2001,2000
1,Nolberto Solano,Peru,Newcastle United,10,2000-2001,2000
2,Jimmy Floyd Hasselbaink,Netherlands,Chelsea FC,9,2000-2001,2000
3,Thierry Henry,France,Arsenal FC,9,2000-2001,2000
4,Vladimír Šmicer,Czech Republic,Liverpool FC,9,2000-2001,2000
5,Ryan Giggs,Wales,Manchester United,8,2000-2001,2000
6,Graham Stuart,England,Charlton Athletic,8,2000-2001,2000
7,Stephen Clemence,England,Tottenham Hotspur,7,2000-2001,2000
8,Paolo Di Canio,Italy,West Ham United,7,2000-2001,2000
9,Hassan Kachloul,Morocco,Southampton FC,7,2000-2001,2000
10,Roy Keane,Ireland,Manchester United,7,2000-2001,2000
11,Robert Pirés,France,Arsenal FC,7,2000-2001,2000
12,Gustavo Poyet,Uruguay,Chelsea FC,7,2000-2001,2000
13,Stefano Eranio,Italy,Derby County,6,2000-2001,2000
14,Eiður Guðjohnsen,Iceland,Chelsea FC,6,2000-2001,2000
15,Ian Harte,Ireland,Leeds United,6,2000-2001,2000
16,Don Hutchison,Scotland,Sunderland AFC,6,2000-2001,2000
17,Paul Merson,England,Aston Villa,6,2000-2001,2000
18,Marians Pahars,Latvia,Southampton FC,6,2000-2001,2000
19,Teddy Sheringham,England,Manchester United,6,2000-2001,2000
20,Alan Smith,England,Leeds United,6,2000-2001,2000
21,Paul Telfer,Scotland,Coventry City,6,2000-2001,2000
22,Celestine Babayaro,Nigeria,Chelsea FC,5,2000-2001,2000
23,Patrik Berger,Czech Republic,Liverpool FC,5,2000-2001,2000
24,Lee Bowyer,England,Leeds United,5,2000-2001,2000
25,Kieron Dyer,England,Newcastle United,5,2000-2001,2000
26,Lee Hendrie,England,Aston Villa,5,2000-2001,2000
27,Matt Holland,Ireland,Ipswich Town,5,2000-2001,2000
28,Seth Johnson,England,Derby County,5,2000-2001,2000
29,Jim Magilton,Northern Ireland,Ipswich Town,5,2000-2001,2000
30,Gary McAllister,Scotland,Liverpool FC,5,2000-2001,2000
31,Paul Scholes,England,Manchester United,5,2000-2001,2000
32,Julio Arca,Argentina,Sunderland AFC,4,2000-2001,2000
33,James Beattie,England,Southampton FC,4,2000-2001,2000
34,Benito Carbone,Italy,Bradford City,4,2000-2001,2000
35,Dion Dublin,England,Aston Villa,4,2000-2001,2000
36,David Ginola,France,Aston Villa,4,2000-2001,2000
37,Emile Heskey,England,Liverpool FC,4,2000-2001,2000
38,Hermann Hreiðarsson,Iceland,Ipswich Town,4,2000-2001,2000
39,Eoin Jess,Scotland,Bradford City,4,2000-2001,2000
40,Frédéric Kanouté,Mali,West Ham United,4,2000-2001,2000
41,Nwankwo Kanu,Nigeria,Arsenal FC,4,2000-2001,2000
42,Christian Karembeu,France,Middlesbrough FC,4,2000-2001,2000
43,Mark Kennedy,Ireland,Manchester City,4,2000-2001,2000
44,Harry Kewell,Australia,Leeds United,4,2000-2001,2000
45,Øyvind Leonhardsen,Norway,Tottenham Hotspur,4,2000-2001,2000
46,Kevin Phillips,England,Sunderland AFC,4,2000-2001,2000
47,Serhiy Rebrov,Ukraine,Tottenham Hotspur,4,2000-2001,2000
48,Ole Gunnar Solskjær,Norway,Manchester United,4,2000-2001,2000
49,Marcus Stewart,England,Ipswich Town,4,2000-2001,2000
50,Dean Sturridge,England,Leicester City,4,2000-2001,2000
51,Mark Viduka,Australia,Leeds United,4,2000-2001,2000
52,Patrick Vieira,France,Arsenal FC,4,2000-2001,2000
53,Ashley Ward,England,Bradford City,4,2000-2001,2000
54,Jeff Whitley,Northern Ireland,Manchester City,4,2000-2001,2000
55,Sylvain Wiltord,France,Arsenal FC,4,2000-2001,2000
56,Dennis Wise,England,Chelsea FC,4,2000-2001,2000
57,Alan Wright,England,Aston Villa,4,2000-2001,2000
58,Dwight Yorke,Trinidad & Tobago,Manchester United,4,2000-2001,2000
59,Gianfranco Zola,Italy,Chelsea FC,4,2000-2001,2000
60,Darren Anderton,England,Tottenham Hotspur,3,2000-2001,2000
61,Markus Babbel,Germany,Liverpool FC,3,2000-2001,2000
62,Nick Barmby,England,Liverpool FC,3,2000-2001,2000
63,Dennis Bergkamp,Netherlands,Arsenal FC,3,2000-2001,2000
64,Alen Bokšić,Croatia,Middlesbrough FC,3,2000-2001,2000
65,Michael Bridges,England,Leeds United,3,2000-2001,2000
66,Michael Carrick,England,West Ham United,3,2000-2001,2000
67,Jamie Clapham,England,Ipswich Town,3,2000-2001,2000
68,Andy Cole,England,Manchester United,3,2000-2001,2000
69,Olivier Dacourt,France,Leeds United,3,2000-2001,2000
70,Samuele Dalla Bona,Italy,Chelsea FC,3,2000-2001,2000
71,Kevin Davies,England,Southampton FC,3,2000-2001,2000
72,Simon Davies,Wales,Tottenham Hotspur,3,2000-2001,2000
73,Tore André Flo,Norway,Chelsea FC,3,2000-2001,2000
74,Robbie Fowler,England,Liverpool FC,3,2000-2001,2000
75,Steve Guppy,England,Leicester City,3,2000-2001,2000
76,Mustapha Hadji,Morocco,Coventry City,3,2000-2001,2000
77,Dietmar Hamann,Germany,Liverpool FC,3,2000-2001,2000
78,Claus Jensen,Denmark,Charlton Athletic,3,2000-2001,2000
79,Robbie Keane,Ireland,Leeds United,3,2000-2001,2000
80,Gary Kelly,Ireland,Leeds United,3,2000-2001,2000
81,Giorgi Kinkladze,Georgia,Derby County,3,2000-2001,2000
82,Radostin Kishishev,Bulgaria,Charlton Athletic,3,2000-2001,2000
83,Frank Lampard,England,West Ham United,3,2000-2001,2000
84,Neil Lennon,Northern Ireland,Leicester City,3,2000-2001,2000
85,Freddie Ljungberg,Sweden,Arsenal FC,3,2000-2001,2000
86,Chris Makin,England,Sunderland AFC,3,2000-2001,2000
87,Gavin McCann,England,Sunderland AFC,3,2000-2001,2000
88,Mario Melchiot,Netherlands,Chelsea FC,3,2000-2001,2000
89,Danny Murphy,England,Liverpool FC,3,2000-2001,2000
90,Richard Naylor,England,Ipswich Town,3,2000-2001,2000
91,Michael Owen,England,Liverpool FC,3,2000-2001,2000
92,Alex Rae,Scotland,Sunderland AFC,3,2000-2001,2000
93,Hámilton Ricard,Colombia,Middlesbrough FC,3,2000-2001,2000
94,Stefan Schwarz,Sweden,Sunderland AFC,3,2000-2001,2000
95,James Scowcroft,England,Ipswich Town,3,2000-2001,2000
96,Tim Sherwood,England,Tottenham Hotspur,3,2000-2001,2000
97,Trevor Sinclair,England,West Ham United,3,2000-2001,2000
98,Gary Speed,Wales,Newcastle United,3,2000-2001,2000
99,David Thompson,England,Coventry City,3,2000-2001,2000
100,Danny Tiatto,Australia,Manchester City,3,2000-2001,2000
101,David Unsworth,England,Everton FC,3,2000-2001,2000
102,Paulo Wanchope,Costa Rica,Manchester City,3,2000-2001,2000
103,Steve Watson,England,Everton FC,3,2000-2001,2000
104,Fabian Wilnis,Netherlands,Ipswich Town,3,2000-2001,2000
105,Jermaine Wright,England,Ipswich Town,3,2000-2001,2000
106,Tony Adams,England,Arsenal FC,2,2000-2001,2000
107,Ade Akinbiyi,England,Leicester City,2,2000-2001,2000
108,John Aloisi,Australia,Coventry City,2,2000-2001,2000
109,Shola Ameobi,Nigeria,Newcastle United,2,2000-2001,2000
