Player,Country,Team,Goals,Season
Nicolas Anelka,France,Chelsea FC,19,2008-2009
Cristiano Ronaldo,Portugal,Manchester United,18,2008-2009
Steven Gerrard,England,Liverpool FC,16,2008-2009
Fernando Torres,Spain,Liverpool FC,14,2008-2009
Robinho,Brazil,Manchester City,14,2008-2009
Darren Bent,England,Tottenham Hotspur,12,2008-2009
Dirk Kuyt,Netherlands,Liverpool FC,12,2008-2009
Frank Lampard,England,Chelsea FC,12,2008-2009
Wayne Rooney,England,Manchester United,12,2008-2009
Gabriel Agbonlahor,England,Aston Villa,11,2008-2009
John Carew,Norway,Aston Villa,11,2008-2009
Kevin Davies,England,Bolton Wanderers,11,2008-2009
Jermain Defoe,England,Tottenham Hotspur,11,2008-2009
Ricardo Fuller,Jamaica,Stoke City,11,2008-2009
Robin van Persie,Netherlands,Arsenal FC,11,2008-2009
Emmanuel Adebayor,Togo,Arsenal FC,10,2008-2009
Djibril Cissé,France,Sunderland AFC,10,2008-2009
Carlton Cole,England,West Ham United,10,2008-2009
Peter Crouch,England,Portsmouth FC,10,2008-2009
Kenwyne Jones,Trinidad & Tobago,Sunderland AFC,10,2008-2009
Robbie Keane,Ireland,Tottenham Hotspur,10,2008-2009
Benni McCarthy,South Africa,Blackburn Rovers,10,2008-2009
Matthew Taylor,England,Bolton Wanderers,10,2008-2009
Amr Zaki,Egypt,Wigan Athletic,10,2008-2009
Nicklas Bendtner,Denmark,Arsenal FC,9,2008-2009
Dimitar Berbatov,Bulgaria,Tottenham Hotspur,9,2008-2009
Chris Brunt,Northern Ireland,West Bromwich Albion,9,2008-2009
Stephen Ireland,Ireland,Manchester City,9,2008-2009
Yossi Benayoun,Israel,Liverpool FC,8,2008-2009
Tim Cahill,Australia,Everton FC,8,2008-2009
Marouane Fellaini,Belgium,Everton FC,8,2008-2009
Géovanni,Brazil,Hull City,8,2008-2009
Obafemi Martins,Nigeria,Newcastle United,8,2008-2009
Michael Owen,England,Newcastle United,8,2008-2009
James Beattie,England,Stoke City,7,2008-2009
Craig Bellamy,Wales,West Ham United,7,2008-2009
Clint Dempsey,USA,Fulham FC,7,2008-2009
Andy Johnson,England,Fulham FC,7,2008-2009
Salomon Kalou,Ivory Coast,Chelsea FC,7,2008-2009
Marlon King,Jamaica,Middlesbrough FC,7,2008-2009
Jason Roberts,Grenada,Blackburn Rovers,7,2008-2009
Tuncay Şanlı,Turkey,Middlesbrough FC,7,2008-2009
Ashley Young,England,Aston Villa,7,2008-2009
Andrey Arshavin,Russia,Arsenal FC,6,2008-2009
Roman Bednář,Czech Republic,West Bromwich Albion,6,2008-2009
Elano,Brazil,Manchester City,6,2008-2009
Jô,Brazil,Manchester City,6,2008-2009
Florent Malouda,French Guyana,Chelsea FC,6,2008-2009
Mido,Egypt,Wigan Athletic,6,2008-2009
Mikel Arteta,Spain,Everton FC,6,2008-2009
Samir Nasri,France,Arsenal FC,6,2008-2009
Leon Osman,England,Everton FC,6,2008-2009
Louis Saha,France,Everton FC,6,2008-2009
Gareth Barry,England,Aston Villa,5,2008-2009
Didier Drogba,Ivory Coast,Chelsea FC,5,2008-2009
Johan Elmander,Sweden,Bolton Wanderers,5,2008-2009
Emile Heskey,England,Wigan Athletic,5,2008-2009
Aaron Lennon,England,Tottenham Hotspur,5,2008-2009
Danny Murphy,England,Fulham FC,5,2008-2009
Roman Pavlyuchenko,Russia,Tottenham Hotspur,5,2008-2009
Carlos Tévez,Argentina,Manchester United,5,2008-2009
Shaun Wright-Phillips,England,Manchester City,5,2008-2009
Afonso Alves,Brazil,Middlesbrough FC,4,2008-2009
Shola Ameobi,Nigeria,Newcastle United,4,2008-2009
Keith Andrews,Ireland,Blackburn Rovers,4,2008-2009
Yakubu Ayegbeni,Nigeria,Everton FC,4,2008-2009
Felipe Caicedo,Ecuador,Manchester City,4,2008-2009
Michael Carrick,England,Manchester United,4,2008-2009
Daniel Cousin,Gabon,Hull City,4,2008-2009
David Di Michele,Italy,West Ham United,4,2008-2009
Marc-Antoine Fortuné,France,West Bromwich Albion,4,2008-2009
Ricardo Gardner,Jamaica,Bolton Wanderers,4,2008-2009
Jermaine Jenas,England,Tottenham Hotspur,4,2008-2009
Diomansy Kamara,Senegal,Fulham FC,4,2008-2009
Joleon Lescott,England,Everton FC,4,2008-2009
Erik Nevland,Norway,Fulham FC,4,2008-2009
